kreis_destatis,hk_name,hk_id
9272,"Freyung-Grafenau, Landkreis",251
9273,"Kelheim, Landkreis",252
9274,"Landshut, Landkreis",253
9275,"Passau, Landkreis",254
9276,"Regen, Landkreis",255
9277,"Rottal-Inn, Landkreis",256
9278,"Straubing-Bogen, Landkreis",257
9279,"Dingolfing-Landau, Landkreis",258
9361,Amberg,259
9362,Regensburg,260
9363,Weiden i.d.OPf.,261
9371,"Amberg-Sulzbach, Landkreis",262
9372,"Cham, Landkreis",263
9373,"Neumarkt i.d.OPf., Landkreis",264
9374,"Neustadt a.d.Waldnaab, Landkreis",265
9375,"Regensburg, Landkreis",266
9376,"Schwandorf, Landkreis",267
9377,"Tirschenreuth, Landkreis",268
9461,Bamberg,269
9462,Bayreuth,270
9463,Coburg,271
9464,Hof,272
9471,"Bamberg, Landkreis",273
9472,"Bayreuth, Landkreis",274
9473,"Coburg, Landkreis",275
9474,"Forchheim, Landkreis",276
9475,"Hof, Landkreis",277
9476,"Kronach, Landkreis",278
9477,"Kulmbach, Landkreis",279
9478,"Lichtenfels, Landkreis",280
9479,"Wunsiedel i.Fichtelgebirge, Landkreis",281
9561,Ansbach,282
9562,Erlangen,283
9563,Fürth,284
9564,Nürnberg,285
9565,Schwabach,286
9571,"Ansbach, Landkreis",287
9572,"Erlangen-Höchstadt, Landkreis",288
9573,"Fürth, Landkreis",289
9574,"Nürnberger Land, Landkreis",290
9575,"Neustadt a.d.Aisch, Landkreis",291
9576,"Roth, Landkreis",292
9577,"Weißenburg-Gunzenhausen, Landkreis",293
9661,Aschaffenburg,294
9662,Schweinfurt,295
9663,Würzburg,296
9671,"Aschaffenburg, Landkreis",297
9672,"Bad Kissingen, Landkreis",298
9673,"Rhön-Grabfeld, Landkreis",299
9674,"Haßberge, Landkreis",300
9675,"Kitzingen, Landkreis",301
9676,"Miltenberg, Landkreis",302
9677,"Main-Spessart, Landkreis",303
9678,"Schweinfurt, Landkreis",304
9679,"Würzburg, Landkreis",305
9761,Augsburg,306
9762,Kaufbeuren,307
9763,Kempten,308
9764,Memmingen,309
9771,"Aichach-Friedberg, Landkreis",310
9772,"Augsburg, Landkreis",311
9773,"Dillingen a.d.Donau, Landkreis",312
9774,"Günzburg, Landkreis",313
9775,"Neu-Ulm, Landkreis",314
9776,"Lindau, Landkreis",315
9777,"Ostallgäu, Landkreis",316
9778,"Unterallgäu, Landkreis",317
9779,"Donau-Ries, Landkreis",318
9780,"Oberallgäu, Landkreis",319
10041,Saarbrücken,320
10042,"Merzig-Wadern, Landkreis",321
10043,"Neunkirchen, Landkreis",322
10044,"Saarlouis, Landkreis",323
10045,Saarpfalz-Kreis,324
10046,"St. Wendel, Landkreis",325
11000,Berlin,326
11001,Berlin,326
11002,Berlin,326
11003,Berlin,326
11004,Berlin,326
11005,Berlin,326
11006,Berlin,326
11007,Berlin,326
11008,Berlin,326
11009,Berlin,326
11010,Berlin,326
11011,Berlin,326
11012,Berlin,326
11100,Berlin,326
11102,Berlin,326
11103,Berlin,326
11106,Berlin,326
11107,Berlin,326
11108,Berlin,326
11109,Berlin,326
11110,Berlin,326
11111,Berlin,326
11112,Berlin,326
11113,Berlin,326
11114,Berlin,326
11120,Berlin,326
11201,Berlin,326
11204,Berlin,326
11205,Berlin,326
11215,Berlin,326
11216,Berlin,326
11217,Berlin,326
11218,Berlin,326
11219,Berlin,326
11221,Berlin,326
11222,Berlin,326
11223,Berlin,326
11200,Berlin,326
12051,Brandenburg an der Havel,327
12052,Spree-Neiße,340
12053,Frankfurt (Oder),328
12054,Potsdam-Mittelmark,338
12060,"Barnim, Landkreis",329
12061,"Dahme-Spreewald, Landkreis",330
12062,"Elbe-Elster, Landkreis",331
12063,"Havelland, Landkreis",332
12064,"Märkisch-Oderland, Landkreis",333
12065,"Oberhavel, Landkreis",334
12066,"Oberspreewald-Lausitz, Landkreis",335
12067,"Oder-Spree, Landkreis",336
12068,"Ostprignitz-Ruppin, Landkreis",337
12069,"Potsdam-Mittelmark, Landkreis",338
12070,"Prignitz, Landkreis",339
12071,"Spree-Neiße, Landkreis",340
12072,"Teltow-Fläming, Landkreis",341
12073,"Uckermark, Landkreis",342
13001,Vorpommern-Greifswald,349
13002,Mecklenburgische Seenplatte,345
13003,Rostock,343
13004,"Schwerin, Landeshauptstadt",344
13005,Vorpommern-Rügen,347
13006,Nordwestmecklenburg,348
13051,"Rostock, Landkreis",346
13052,Mecklenburgische Seenplatte,345
13053,"Rostock, Landkreis",346
13054,Ludwigslust-Parchim,350
13055,Mecklenburgische Seenplatte,345
13056,Mecklenburgische Seenplatte,345
13057,Vorpommern-Rügen,347
13058,Nordwestmecklenburg,348
13059,Vorpommern-Greifswald,349
13060,Ludwigslust-Parchim,350
13061,Vorpommern-Rügen,347
13062,Vorpommern-Greifswald,349
13071,"Mecklenburgische Seenplatte, Landkreis ",345
13072,"Rostock, Landkreis ",346
13073,"Vorpommern-Rügen, Landkreis ",347
13074,"Nordwestmecklenburg, Landkreis ",348
13075,"Vorpommern-Greifswald, Landkreis ",349
13076,"Ludwigslust-Parchim, Landkreis ",350
14013,Vogtlandkreis,354
14036,Vogtlandkreis,354
14042,Vogtlandkreis,354
14045,Vogtlandkreis,354
14046,Vogtlandkreis,354
14061,"Chemnitz, Stadt",351
14062,"Dresden, Stadt",356
14063,"Görlitz, Stadt",358
14065,"Leipzig, Stadt",361
14066,"Plauen, Stadt",354
14067,"Zwickau, Stadt",355
14071,Erzgebirgskreis,352
14072,Bautzen,357
14073,Zwickau,355
14074,Nordsachsen,363
14075,Mittelsachsen,353
14077,Mittelsachsen,353
14079,Leipzig,362
14080,Meißen,359
14081,Erzgebirgskreis,352
14082,Mittelsachsen,353
14083,Leipzig,362
14084,Görlitz,358
14085,Meißen,359
14086,"Görlitz, Stadt",358
14087,Sächsische Schweiz,360
14088,Erzgebirgskreis,352
14089,Nordsachsen,363
14090,Sächsische Schweiz,360
14091,Erzgebirgskreis,352
14092,Bautzen,357
14093,Zwickau,355
14094,"Dresden, Stadt",356
14095,Bautzen,357
14161,"Chemnitz, Stadt",351
14166,Vogtlandkreis,354
14167,Zwickau,355
14171,Erzgebirgskreis,352
14173,Zwickau,355
14177,Mittelsachsen,353
14178,Vogtlandkreis,354
14181,Erzgebirgskreis,352
14182,Mittelsachsen,353
14188,Erzgebirgskreis,352
14191,Erzgebirgskreis,352
14193,Zwickau,355
14262,"Dresden, Stadt",356
14263,Görlitz,358
14264,Bautzen,357
14272,Bautzen,357
14280,Meißen,359
14284,Görlitz,358
14285,Meißen,359
14286,Görlitz,358
14287,Sächsische Schweiz,360
14290,Sächsische Schweiz,360
14292,Bautzen,357
14365,"Leipzig, Stadt",361
14374,Nordsachsen,363
14375,Mittelsachsen,353
14379,Leipzig,362
14383,Leipzig,362
14389,Nordsachsen,363
14511,Chemnitz,351
14521,Erzgebirgskreis,352
14522,Mittelsachsen,353
14523,Vogtlandkreis,354
14524,Zwickau,355
14612,Dresden,356
14625,Bautzen,357
14626,Görlitz,358
14627,Meißen,359
14628,Sächsische Schweiz-Osterzgebirge,360
14713,Leipzig,361
14729,Leipzig,362
14730,Nordsachsen,363
15001,Dessau-Roßlau,364
15002,Halle (Saale),365
15003,Magdeburg,366
15081,Altmarkkreis Salzwedel,367
15082,Anhalt-Bitterfeld,368
15083,Börde,369
15084,Burgenlandkreis,370
15085,Harz,371
15086,Jerichower Land,368
15087,Mansfeld-Südharz,372
15088,Saalekreis,373
15089,Salzlandkreis,374
15090,Stendal,375
15091,Wittenberg,368
15101,"Dessau-Roßlau, Stadt",364
15151,Anhalt-Bitterfeld-Wittenberg,368
15153,Salzlandkreis,374
15154,Anhalt-Bitterfeld-Wittenberg,368
15159,Anhalt-Bitterfeld-Wittenberg,368
15171,Anhalt-Bitterfeld-Wittenberg,368
15202,"Halle (Saale), Stadt",365
15256,Burgenlandkreis,370
15260,Mansfeld-Südharz,372
15261,Saalekreis,373
15265,Saalekreis,373
15266,Mansfeld-Südharz,372
15268,Burgenlandkreis,370
15303,Magdeburg,366
15352,Salzlandkreis,374
15355,Börde,369
15357,Harz,371
15358,Anhalt-Bitterfeld-Wittenberg,368
15362,Börde,369
15363,Stendal,375
15364,Harz,371
15367,Salzlandkreis,374
15369,Harz,371
15370,Altmarkkreis Salzwedel,367
16051,Erfurt,376
16052,Gera,377
16053,Jena,378
16054,Suhl,379
16055,Weimar,380
16056,Wartburgkreis,383
16061,"Eichsfeld, Landkreis",381
16062,"Nordhausen, Landkreis",382
16063,Wartburgkreis,383
16064,Unstrut-Hainich-Kreis,384
16065,Kyffhäuserkreis,385
16066,"Schmalkalden-Meiningen, Landkreis",386
16067,"Gotha, Landkreis",387
16068,"Sömmerda, Landkreis",388
16069,"Hildburghausen, Landkreis",389
16070,Ilm-Kreis,390
16071,"Weimarer Land, Landkreis",391
16072,"Sonneberg, Landkreis",392
16073,"Saalfeld-Rudolstadt, Landkreis",393
16074,Saale-Holzland-Kreis,394
16075,Saale-Orla-Kreis,395
16076,"Greiz, Landkreis",396
16077,"Altenburger Land, Landkreis",397
